node_id	cluster_id	degree
636	bucket_3	16
637	bucket_7	19
638	bucket_0	12
639	bucket_0	22
640	bucket_11	6
641	bucket_0	19
642	bucket_5	257
643	bucket_5	54
644	bucket_5	2
645	bucket_1	19
646	bucket_2	21
647	bucket_1	32
648	bucket_12	23
649	bucket_7	40
650	bucket_5	238
651	bucket_5	8
652	bucket_4	8
653	bucket_0	16
654	bucket_5	218
655	bucket_7	27
656	bucket_3	19
657	bucket_0	26
658	bucket_0	24
659	bucket_9	17
660	bucket_10	23
661	bucket_0	28
662	bucket_2	19
663	bucket_0	20
664	bucket_5	145
665	bucket_0	16
666	bucket_0	20
667	bucket_5	2
668	bucket_0	19
669	bucket_15	29
670	bucket_0	19
671	bucket_0	19
672	bucket_5	154
673	bucket_0	21
674	bucket_0	30
675	bucket_5	5
676	bucket_3	23
677	bucket_4	2
678	bucket_0	36
679	bucket_5	5
680	bucket_9	23
681	bucket_6	9
682	bucket_5	6
683	bucket_5	10
684	bucket_0	17
685	bucket_5	412
686	bucket_0	27
687	bucket_5	3
688	bucket_1	19
689	bucket_5	4
690	bucket_5	19
691	bucket_0	22
692	bucket_13	24
693	bucket_14	24
694	bucket_1	23
695	bucket_5	59
696	bucket_11	2
697	bucket_14	29
698	bucket_3	14
699	bucket_0	16
700	bucket_11	1
701	bucket_0	29
702	bucket_12	22
703	bucket_5	8
704	bucket_5	10
705	bucket_1	16
706	bucket_0	19
707	bucket_5	2
708	bucket_11	7
709	bucket_5	1
710	bucket_0	36
711	bucket_12	15
712	bucket_5	4
713	bucket_0	20
714	bucket_0	24
715	bucket_5	6
716	bucket_8	29
717	bucket_0	17
718	bucket_5	168
719	bucket_3	18
720	bucket_0	29
721	bucket_12	23
722	bucket_7	21
723	bucket_5	0
724	bucket_4	6
725	bucket_0	16
726	bucket_0	23
727	bucket_0	132
728	bucket_0	23
729	bucket_8	37
730	bucket_11	4
731	bucket_8	34
732	bucket_8	32
733	bucket_3	16
734	bucket_11	2
735	bucket_0	22
736	bucket_0	25
737	bucket_0	35
738	bucket_5	298
739	bucket_0	28
740	bucket_0	33
741	bucket_0	26
742	bucket_5	2
743	bucket_5	273
744	bucket_0	21
745	bucket_0	24
746	bucket_1	23
747	bucket_11	3
748	bucket_5	40
749	bucket_0	20
750	bucket_10	20
751	bucket_0	17
752	bucket_5	283
753	bucket_5	2
754	bucket_11	6
755	bucket_5	80
756	bucket_14	22
757	bucket_0	5
758	bucket_11	4
759	bucket_3	23
760	bucket_0	35
761	bucket_1	19
762	bucket_5	121
763	bucket_0	25
764	bucket_0	27
765	bucket_0	22
766	bucket_5	204
767	bucket_12	29
768	bucket_0	20
769	bucket_11	6
770	bucket_5	8
771	bucket_8	25
772	bucket_0	23
773	bucket_0	23
774	bucket_0	24
775	bucket_11	17
776	bucket_9	21
777	bucket_3	27
778	bucket_25	25
779	bucket_0	27
780	bucket_11	6
781	bucket_5	7
782	bucket_19	26
783	bucket_4	1
784	bucket_5	23
785	bucket_3	23
786	bucket_0	16
787	bucket_4	5
788	bucket_11	1
789	bucket_6	15
790	bucket_4	6
791	bucket_3	18
792	bucket_11	1
793	bucket_0	71
794	bucket_12	22
795	bucket_6	23
796	bucket_0	26
797	bucket_0	20
798	bucket_0	27
